artigoEmPeriodico	2009		Aplicando o OntoHealth para o Processamento e Consultas de Ontologias para Ambientes Hospitalares Pervasivos	iSys: Revista Brasileira de Sistemas de Informação	LIBRELOTTO, Giovani R. ; GASSEN, J. B. ; FREITAS, L. O. ; VIZZOTTO, J. K. ; SILVA, F. L. ; AUGUSTIN, I.	B3	
artigoEmPeriodico	2009		Topic Maps Dirigidos por Ontologias	Revista de Ciência Tecnologia	LIBRELOTTO, Giovani R. ; GASSEN, J. B. ; RAMALHO, José Carlos ; HENRIQUES, Pedro Rangel	Qualis nao identificado	Revista de Ciência Tecnologia
artigoEmPeriodico	2009		Aplicando Topic Maps para a Representação de Mapas de Conceitos	Vidya (Santa Maria)	LIBRELOTTO, Giovani R. ; LOPES, Sandra Cristina Gonçalves Silva ; KURTZ, G. C. ; TURCHETTI, Rogério Correa ; HENRIQUES, Pedro Rangel	Qualis nao identificado	Vidya (Santa Maria)
artigoEmPeriodico	2009		Comparando Linguagens para o Armazenamento de Informação Genômica	Revista do CCEI	LIBRELOTTO, Giovani R. ; SILVEIRA, Leandro ; CABRAL, H. C. B.	B5	
artigoEmPeriodico	2009		Localização Física de Dispositivos em Computação Pervasiva utilizando o Gerenciador de Rede WICD	Revista do CCEI	PASETTO, L. F. ; TURCHETTI, Rogério Correa ; LIBRELOTTO, Giovani R. ; BAGGIO, J. E.	B5	
artigoEmPeriodico	2008		ActiveRulexDBX: Uma Ferramenta para a Execução de Regras a partir da Detecção de Eventos Temporais	Gestão (Curitiba)	KASPER, J. ; SIMONETTO, Eugênio de Oliveira ; LIBRELOTTO, Giovani R.	C	
artigoEmPeriodico	2008		Um estudo de caso sobre ambientes para implementação de aplicações distribuídas	Revista do CCEI	LIBRELOTTO, Giovani R. ; ALVES, V. M. ; MOZZAQUATRO, B. ; TURCHETTI, Rogério Correa ; NUNES, R. C.	B5	
artigoEmPeriodico	2008		Visualização de Topic Maps com o Ulisses	Revista do CCEI	LIBRELOTTO, Giovani R. ; AZEVEDO, R. P. ; GASSEN, J. B. ; RAMALHO, José Carlos ; HENRIQUES, Pedro Rangel	B5	
artigoEmPeriodico	2008	http://dx.doi.org/10.1007/978-3-540-70874-2_10	Comparing Topic Maps Constraint Specification Languages	Lecture Notes in Computer Science	LIBRELOTTO, Giovani R. ; AZEVEDO, R. P. ; RAMALHO, José Carlos ; HENRIQUES, Pedro Rangel	C	
artigoEmPeriodico	2008		Uma Ferramenta para o Processamento da Representação do Domínio de Atividades Médicas	Hífen (Uruguaiana)	LIBRELOTTO, Giovani R. ; FREITAS, L. O. ; GASSEN, J. B. ; SILVEIRA, M. C. ; TURCHETTI, Rogério Correa ; SILVA, F. L. ; AUGUSTIN, I.	C	Hífen (Uruguaiana. Online)
