trabalhoCompletoEmCongresso	André Luís Schwerz	2014		Gerenciador de Dados Compartilhados entre Processos de Negócio: Data-Control Process para WED-Tool	VIII Workshop Brasileiro em Gestão de Processos de Negócios	ROBERTO, Rafael Liberato ; SCHWERZ, André Luís ; TAKAI, Osvaldo Kotaro ; FERREIRA, João Eduardo	B5	Workshop Brasileiro de Gestão de Processos de Negócio
trabalhoCompletoEmCongresso	André Luís Schwerz	2013		Predizendo a Participação de Desenvolvedores em Discussões em Projetos de Software Livre	XIV Workshop de Software Livre (WSL 2013)	SCHWERZ, André Luís ; ROBERTO, Rafael Liberato ; WIESE, Igor Scaliante ; STEINMACHER, Igor Fábio ; GEROSA, Marco Aurélio ; FERREIRA, João Eduardo	Qualis nao identificado	XIV Workshop de Software Livre (WSL 2013)
trabalhoCompletoEmCongresso	André Luís Schwerz	2012	http://dx.doi.org/10.1109/SBSC.2012.27	Prediction of Developer Participation in Issues of Open Source Projects	2012 Brazilian Symposium on Collaborative Systems (SBSC)	SCHWERZ, ANDRE LUIS ; ROBERTO, Rafael Liberato ; WIESE, Igor Scaliante ; STEINMACHER, Igor Fábio ; GEROSA, Marco Aurélio ; FERREIRA, João Eduardo	B4	SBSC
artigoEmPeriodico	André Luiz Satoshi Kawamoto	2013		Utilização de Dispositivos de Interfaces Naturais de Usuário em Aplicações de Realidade Aumentada	Tendências e Técnicas em Realidade Virtual e Aumentada	KAWAMOTO, A. L. S. ; Corrêa a da Silva, F	Qualis nao identificado	Tendências e Técnicas em Realidade Virtual e Aumentada
artigoEmPeriodico	André Luiz Satoshi Kawamoto	2013	http://dx.doi.org/10.5335/rbca.2013.3269	Application designed for the elderly using gestural interface	Revista Brasileira de Computação Aplicada	KAWAMOTO, André Luis Satoshi ; MARTINS, VALERIA FARINAZZO	B5	
trabalhoCompletoEmCongresso	André Luiz Satoshi Kawamoto	2014	http://dx.doi.org/10.1109/SMC.2014.6974274	Converging Natural User Interfaces guidelines and the design of applications for older adults	2014 IEEE International Conference on Systems	SATOSHI KAWAMOTO, ANDRE LUIZ ; MARTINS, VALERIA FARINAZZO ; DA SILVA, FLAVIO SOARES CORREA	B3	International Conference on Systems
trabalhoCompletoEmCongresso	André Luiz Satoshi Kawamoto	2013		SBC - Proceedings of SBGames 2013	XII Brazilian Symposium on Games and Digital Entertainment	SALVADOR, V. F. M. ; Kawamoto, André Luiz Satoshi ; Corrêa a da Silva, F	Qualis nao identificado	XII Brazilian Symposium on Games and Digital Entertainment
trabalhoCompletoEmCongresso	André Luiz Satoshi Kawamoto	2012		Predição de Resultado de Eleição para Reitor de Universidade utilizando Tweets como Fonte de Pesquisa	Conferência IADIS Ibero-Americana WWW/Internet	KRAEMER, A. ; KAWAMOTO, A. L. S. ; GEROSA, M. A.	Qualis nao identificado	Conferência IADIS Ibero-Americana WWW/Internet
trabalhoCompletoEmCongresso	André Luiz Satoshi Kawamoto	2012		Usability Evaluation of Television based Gestures and Voice Control	LatinDisplay and International Display Research Conference	SALVADOR, V. F. M. ; KAWAMOTO, A. L. S. ; GUIMARAES, M. P.	Qualis nao identificado	LatinDisplay and International Display Research Conference
artigoEmPeriodico	Aretha Barbosa Alencar	2012	http://dx.doi.org/10.1002/widm.1071	Seeing beyond reading: a survey on visual text analytics	WIREs Data Mining and Knowledge Discovery	ALENCAR, A. B. ; OLIVEIRA, M. C. F. ; PAULOVICH, F. V.	A2	Data Mining and Knowledge Discovery
trabalhoCompletoEmCongresso	Aretha Barbosa Alencar	2012	http://dx.doi.org/10.1145/2245276.2245469	Time-aware visualization of document collections	the 27th Annual ACM Symposium	ALENCAR, ARETHA B. ; Börner, Katy ; PAULOVICH, FERNANDO V. ; DE OLIVEIRA, MARIA CRISTINA F.	Qualis nao identificado	the 27th Annual ACM Symposium
resumoExpandidoEmCongresso	Aretha Barbosa Alencar	2014	Análise de Produção Científica com Técnicas de Mineração e Visualização de Texto	Simpósio Internacional de Iniciação Científica da USP, 2014, São Carlos/SP. XXII Simpósio Internacional de Iniciação Científica da USP	RUSA, R. ; ALENCAR, A. B. ; OLIVEIRA, M. C. F.	Qualis nao identificado	Simpósio Internacional de Iniciação Científica da USP, 2014, São Carlos/SP. XXII Simpósio Internacional de Iniciação Científica da USP
artigoEmPeriodico	Diego Bertolini Gonçalves	2013	http://dx.doi.org/10.1016/j.eswa.2012.10.016	Texture-based descriptors for writer identification and verification	Expert Systems with Applications	GONÇALVES, Diego Bertolini ; Oliveira, L.S. ; Justino, E. ; Sabaourin, R.	A1	
trabalhoCompletoEmCongresso	Diego Bertolini Gonçalves	2014		Assessing Textural Features For Writer Identification on Different Writing Styles and Forgeries	International Conference on Pattern Recognition	BERTOLINI, D. ; Oliveira, L.S. ; Justino, E. ; Sabaourin, R.	A1	
trabalhoCompletoEmCongresso	Filipe Roseiro Côgo	2014		Social Metrics Included in Prediction Models on Software Engineering: A Mapping Study	International Conference on Predictive Models in Software Engineering (PROMISE'14)	Wiese, I.S. ; CÔGO, F. R. ; Ré, R. ; STEINMACHER, I. F. ; GEROSA, M. A.	Qualis nao identificado	International Conference on Predictive Models in Software Engineering (PROMISE'14)
trabalhoCompletoEmCongresso	Filipe Roseiro Côgo	2014		Filtragem colaborativa de rotas de ônibus usando dados sobre a acessibilidade das vias urbanas	Simpósio Brasileiro de Sistemas Colaborativos (SBSC'14)	ANTONIO, M. F. ; COGO, F. R. ; STEINMACHER, I. F. ; CHAVES, A. P.	B4	Simpósio Brasileiro de Sistemas Colaborativos
trabalhoCompletoEmCongresso	Filipe Roseiro Côgo	2013		Tópicos de pesquisa e rede de coautoria no Simpósio Brasileiro de Sistemas Colaborativos	Simpósio Brasileiro de Sistemas Colaborativos	STEINMACHER, I. F. ; SILVA, M. A. G. ; CÔGO, F. R. ; CHAVES, A. P. ; GEROSA, M. A.	B4	
trabalhoCompletoEmCongresso	Filipe Roseiro Côgo	2012		AuthorityRank: Cognitive Authority and Information Retrieval in the Web	IADIS International Conference on WWW/Internet	CÔGO, F. R. ; da SILVA, S. R. P. ; PEREIRA, R.	Qualis nao identificado	IADIS International Conference on WWW/Internet
