artigoEmPeriodico	0	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1016/j.eswa.2012.10.016&md5=0fc09b7e780c8896690eca6f3dba7bba	Texture-based descriptors for writer identification and verification	Expert Systems with Applications	GONÇALVES, Diego Bertolini ; Oliveira, L.S. ; Justino, E. ; Sabaourin, R.	A1	
artigoEmPeriodico	0	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1016/j.patcog.2009.05.009&md5=d91899af3840e8d357590aa50f6571d2	Reducing forgeries in writer-independent off-line signature verification through ensemble of classifiers	Pattern Recognition	GONÇALVES, Diego Bertolini ; Oliveira, L.S. ; Sabaourin, R. ; Justino, E.	A1	
artigoEmPeriodico	0	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49	An Integrated Approach of Software Development and Test Processes to Distributed Teams	Journal of Universal Computer Science (Print)	LEAL, G. C. L. ; LEAL, G. C. L. ; CHAVES, A. P. ; HUZITA, E. H. M. ; DELAMARO, M. E.	B1	
artigoEmPeriodico	0	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1016/j.jnca.2014.07.022&md5=9f4c35a130f92cba69b306daccd03e4b	A comprehensive view of Hadoop research-A systematic literature review	Journal of Network and Computer Applications	POLATO, Ivanilton ; RÉ, REGINALDO ; GOLDMAN, ALFREDO ; KON, FABIO	B1	
artigoEmPeriodico	0	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1016/j.entcs.2006.05.027&md5=9251685cf3b98d443ade5844c399788d	A Component-based Approach to Embedded Software Design	Electronic Notes in Theoretical Computer Science	POLATO, Ivanilton ; SILVA FILHO, Antonio Mendes da	B1	
artigoEmPeriodico	0	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1007/s10606-012-9164-4&md5=834f11d2461ead168455dab98ae3c0f9	Awareness Support in Distributed Software Development: A Systematic Review and Mapping of the Literature	Computer Supported Cooperative Work	STEINMACHER, Igor ; STEINMACHER, IGOR ; CHAVES, A. P. ; Gerosa, Marco Aurélio	B3	
artigoEmPeriodico	0	http://dx.doi.org/10.1016/j.infsof.2014.11.001	A systematic literature review on the barriers faced by newcomers to open source software projects	Information and Software Technology	STEINMACHER, Igor ; GRACIOTTO SILVA, MARCO AURELIO ; GEROSA, Marco Aurelio ; REDMILES, David F.	A2	
trabalhoCompletoEmCongresso	2015		Um Survey sobre Soluções de Computacação Urbana Como Meio de Promoção da Socialização Face-a-Face	Simpósio Brasileiro de Sistemas Colaborativos	BATISTA, P. ; RIBEIRO, L. ; COGO, F. R. ; CHAVES, Ana Paula	B4	
trabalhoCompletoEmCongresso	2015		Análise de mensagens associadas à cibersegurança em redes IRC	SBSeg 2015	CAMPIOLO, R. ; BATISTA, D. M.	Qualis nao identificado	SBSeg 2015
trabalhoCompletoEmCongresso	2015		Desenvolvimento de subsídios para competições de programação com linguagem VHDL	5º Seminário de Extensão e Inovação da UTFPR	DINIZ, G. C. ; GRACIOTTO SILVA, MARCO AURELIO	Qualis nao identificado	5º Seminário de Extensão e Inovação da UTFPR
