trabalhoCompletoEmCongresso	2013		Tópicos de pesquisa e rede de coautoria no Simpósio Brasileiro de Sistemas Colaborativos	X Simpósio Brasileiro de Sistemas Colaborativos	STEINMACHER, Igor ; GRACIOTTO SILVA, M. A. ; COGO, Filipe R. ; CHAVES, Ana Paula ; GEROSA, Marco Aurelio	B4	Simpósio Brasileiro de Sistemas Colaborativos
trabalhoCompletoEmCongresso	2012	http://dx.doi.org/10.1145/2245276.2245469	Time-aware visualization of document collections	the 27th Annual ACM Symposium	ALENCAR, ARETHA B. ; Börner, Katy ; PAULOVICH, FERNANDO V. ; DE OLIVEIRA, MARIA CRISTINA F.	Qualis nao identificado	the 27th Annual ACM Symposium
trabalhoCompletoEmCongresso	2012	http://dx.doi.org/10.1109/SBSC.2012.18	May Social Behavior Reveal Preferences on Different Contexts? Recommending Movie Titles Based on Tweets	2012 Brazilian Symposium on Collaborative Systems (SBSC)	BORSATO, FRANK HELBERT ; Polato, Ivanilton	B4	SBSC
trabalhoCompletoEmCongresso	2012		Análise de Mensagens de Segurança Postadas no Twitter	Simpósio Brasileiro de Sistemas Colaborativos	CAMPIOLO, R. ; BATISTA, D. M. ; GEROSA, M. A. ; SANTOS, L. A. F.	B4	
trabalhoCompletoEmCongresso	2012		AuthorityRank: Cognitive Authority and Information Retrieval in the Web	IADIS International Conference on WWW/Internet	CÔGO, F. R. ; da SILVA, S. R. P. ; PEREIRA, R.	Qualis nao identificado	IADIS International Conference on WWW/Internet
trabalhoCompletoEmCongresso	2012		The UNB-RISC16 Object File Format	XXXI International Conference of the Chilean Computer Science Society	D'AMATO, A. ; FOLEISS, J. H. ; RUIZ, L. B. ; COSTA, J. C. ; SILVA F., A ; HÜBNER, R.	B3	International Conference of the Chilean Computer Science Society
trabalhoCompletoEmCongresso	2012		Dynamic Binary Translation: a Model-Driven Approach	XXXI International Conference of the Chilean Computer Science Society	FOLEISS, J. H. ; DAMATO, A. L. T. ; SILVA, A. F.	B3	International Conference of the Chilean Computer Science Society
trabalhoCompletoEmCongresso	2012		Maximizando os Recursos Computacionais com um Ambiente de Execução Baseado Estritamente em Tarefas	XI Workshop em Desempenho de Sistemas Computacionais e de Comunicação	HUBNER, R. ; FOLEISS, J. H. ; DAMATO, A. L. T. ; SILVA, A. F.	B5	Workshop em Desempenho de Sistemas Computacionais e de Comunicação
trabalhoCompletoEmCongresso	2012		Experiências com o Uso de Ferramentas Gratuitas no Ensino de Hardware	Workshop sobre Educação em Arquitetura de Computadores (WEAC 2012)	HÜBNER, R. ; GONÇALVES, R. A. ; MENOTTI, R.	B5	Workshop sobre Educação em Arquitetura de Computadores
trabalhoCompletoEmCongresso	2012		Predição de Resultado de Eleição para Reitor de Universidade utilizando Tweets como Fonte de Pesquisa	Conferência IADIS Ibero-Americana WWW/Internet	KRAEMER, A. ; KAWAMOTO, A. L. S. ; GEROSA, M. A.	Qualis nao identificado	Conferência IADIS Ibero-Americana WWW/Internet
trabalhoCompletoEmCongresso	2012	http://dx.doi.org/10.1109/SBSC.2012.26	A Collective Intelligence Based System for Visualizing Problems in Public Roads	2012 Brazilian Symposium on Collaborative Systems (SBSC)	NISHI, MARCELO KOTI ; CHAVES, Ana Paula ; STEINMACHER, IGOR	B4	SBSC
trabalhoCompletoEmCongresso	2012		Usability Evaluation of Television based Gestures and Voice Control	LatinDisplay and International Display Research Conference	SALVADOR, V. F. M. ; KAWAMOTO, A. L. S. ; GUIMARAES, M. P.	Qualis nao identificado	LatinDisplay and International Display Research Conference
trabalhoCompletoEmCongresso	2012	http://dx.doi.org/10.1109/SBSC.2012.10	Analysis of Security Messages Posted on Twitter	2012 Brazilian Symposium on Collaborative Systems (SBSC)	SANTOS, L. A. F. ; CAMPIOLO, Rodrigo ; GEROSA, M. A. ; BATISTA, D. M.	B4	SBSC
trabalhoCompletoEmCongresso	2012	http://dx.doi.org/10.1109/SBSC.2012.27	Prediction of Developer Participation in Issues of Open Source Projects	2012 Brazilian Symposium on Collaborative Systems (SBSC)	SCHWERZ, André Luís ; ROBERTO, Rafael Liberato ; WIESE, Igor Scaliante ; STEINMACHER, Igor Fábio ; GEROSA, Marco Aurélio ; FERREIRA, João Eduardo	B4	SBSC
trabalhoCompletoEmCongresso	2012	http://dx.doi.org/10.1109/ICGSEW.2012.9	An Extensible Service for Experts Recommendation on Distributed Software Development Projects	2012 Seventh IEEE International Conference on Global Software Engineering Workshop (ICGSEW)	SILVA, José Teodoro ; GEROSA, Marco Aurelio ; WIESE, Igor Scaliante ; RÉ, Reginaldo ; STEINMACHER, I.	B2	IEEE International Conference on Global Software Engineering
trabalhoCompletoEmCongresso	2012	http://dx.doi.org/10.1109/SBSC.2012.16	Newcomers Withdrawal in Open Source Software Projects: Analysis of Hadoop Common Project	2012 Brazilian Symposium on Collaborative Systems (SBSC)	STEINMACHER, IGOR ; WIESE, IGOR S. ; CHAVES, ANA PAULA ; GEROSA, Marco Aurelio	B4	SBSC
trabalhoCompletoEmCongresso	2012	http://dx.doi.org/10.1109/RSSE.2012.6233413	Recommending mentors to software project newcomers	2012 Third International Workshop on Recommendation Systems for Software Engineering (RSSE)	STEINMACHER, IGOR ; WIESE, Igor Scaliante ; GEROSA, Marco Aurelio	Qualis nao identificado	2012 Third International Workshop on Recommendation Systems for Software Engineering (RSSE)
trabalhoCompletoEmCongresso	2012		The UbiBus Project: Using Context and Ubiquitous Computing to build Advanced Public Transportation Systems to Support Bus Passengers	VIII Simpósio Brasileiro de Sistemas de Informação (SBSI 2012)	VIEIRA, Vaninha ; FERRAZ, Carlos ; TEDESCO, Patrícia ; TIMES, Valéria C. ; SALGADO, Ana Carolina ; HUZITA, Elisa Hatsue Moriya ; CHAVES, Ana Paula ; STEINMACHER, Igor	B4	Simpósio Brasileiro de Sistemas de Informação
resumoExpandidoEmCongresso	2015	Using Collective Intelligence to Improve Urban Mobility in Smart Cities	Doing CSCW Research in Latin American: differences, opportunities, challenges, and lessons learned, 2015, Vancouver, BC, Canada. CSCW 2015 Workshop: Doing CSCW Research in Latin American	CHAVES, A. P. ; GEROSA, M. A.	Qualis nao identificado	Doing CSCW Research in Latin American: differences, opportunities, challenges, and lessons learned, 2015, Vancouver, BC, Canada. CSCW 2015 Workshop: Doing CSCW Research in Latin American
resumoExpandidoEmCongresso	2015	Knowledge Management and Organizational Culture in a Software Organization a Case Study	8th International Workshop on Cooperative and Human Aspects of Software Engineering, 2015, Florence - Italia. 8th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2015). ACM: ACM	RABELO, Jacilane ; CESAR, Edson ; VIANA, Davi ; BRAGA, Luis ; SANTOS, Gleison ; STEINMACHER, Igor ; CONTE, Tayana U.	Qualis nao identificado	8th International Workshop on Cooperative and Human Aspects of Software Engineering, 2015, Florence - Italia. 8th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2015). ACM: ACM
resumoExpandidoEmCongresso	2015	Necessidade de Desenvolvimento de Tecnologia Assistiva	III Congresso de Ciência e Tecnologia da UTFPR-DV, 2015, Dois Vizinhos. III Congresso de Ciência e Tecnologia da UTFPR-DV	SOZIM, M. B. ; RAMOS, F. V. ; SABO, P. H.	Qualis nao identificado	III Congresso de Ciência e Tecnologia da UTFPR-DV, 2015, Dois Vizinhos. III Congresso de Ciência e Tecnologia da UTFPR-DV
resumoExpandidoEmCongresso	2014	Desenvolvimento e Avaliação de Equação Diferencial Ordinária Não-Linear na Linguagem de Programação Julia	IV Ciclo de Palestras: Perspectivas Matemáticas, 2014, Campo Mourão. Ciclo de Palestras: Perspectivas Matemáticas	QUEIROZ FILHO, J. M. ; MORAIS, V. R. ; SILVA, W. M. ; LOBEIRO, A. M. ; HÜBNER, R.	Qualis nao identificado	IV Ciclo de Palestras: Perspectivas Matemáticas, 2014, Campo Mourão. Ciclo de Palestras: Perspectivas Matemáticas
resumoExpandidoEmCongresso	2014	Análise de Carga em um Circuito Elétrico Passivo com Topologia Paralela por meio do Método de Diferenças Finitas	IV Ciclo de Palestras: Perspectivas Matemáticas, 2014, Campo Mourão. Ciclo de Palestras: Perspectivas Matemáticas	ROSSINI, F. L. ; LOBEIRO, A. M. ; COLUCCI, V. ; SILVA, E. M. ; HÜBNER, R. ; FOLEISS, J. H.	Qualis nao identificado	IV Ciclo de Palestras: Perspectivas Matemáticas, 2014, Campo Mourão. Ciclo de Palestras: Perspectivas Matemáticas
resumoExpandidoEmCongresso	2014	Análise de Produção Científica com Técnicas de Mineração e Visualização de Texto	Simpósio Internacional de Iniciação Científica da USP, 2014, São Carlos/SP. XXII Simpósio Internacional de Iniciação Científica da USP	RUSA, R. ; ALENCAR, A. B. ; OLIVEIRA, M. C. F.	Qualis nao identificado	Simpósio Internacional de Iniciação Científica da USP, 2014, São Carlos/SP. XXII Simpósio Internacional de Iniciação Científica da USP
resumoExpandidoEmCongresso	2014	Uma arquitetura autonômica para detecção e reação a ameaças de segurança em redes de computadores	SBRC 2014, 2014, Florianópolis. Anais do 4o Workshop em Sistemas Distribuídos Autonômicos	SANTOS, L. A. F. ; CAMPIOLO, R. ; BATISTA, D. M.	Qualis nao identificado	SBRC 2014, 2014, Florianópolis. Anais do 4o Workshop em Sistemas Distribuídos Autonômicos
resumoExpandidoEmCongresso	2014	A flexibilização curricular da disciplina Interação Humano-Computador (IHC) para enfrentar desafios emergentes	Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais, 2014, Foz do Iguaçu. Anais do XIII Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais	SILVA, J. V. ; CÔGO, F. R.	Qualis nao identificado	Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais, 2014, Foz do Iguaçu. Anais do XIII Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais
resumoExpandidoEmCongresso	2014	Uma Alternativa Robusta, Rápida e Gratuíta para Pesquisadores que Utilizam MATLAB	IV Ciclo de Palestras: Perspectivas Matemáticas, 2014, Campo Mourão. Ciclo de Palestras: Perspectivas Matemáticas	SILVA, W. M. ; ROSSINI, F. L. ; LOBEIRO, A. M. ; FOLEISS, J. H. ; HÜBNER, R.	Qualis nao identificado	IV Ciclo de Palestras: Perspectivas Matemáticas, 2014, Campo Mourão. Ciclo de Palestras: Perspectivas Matemáticas
resumoExpandidoEmCongresso	2014	How to Support Newcomers Onboarding to Open Source Software Projects	The 10th IFIP WG 2.13 International Conference on Open Source Systems, 2014, San Jose, Costa Rica. The 10th IFIP WG 2.13 International Conference on Open Source Systems	STEINMACHER, Igor ; GEROSA, Marco Aurelio	B2	International Conference on Open Source Systems
resumoExpandidoEmCongresso	2013	Evaluating the utilization of Twitter messages as a source of security alerts	the 28th Annual ACM Symposium, 2013	CAMPIOLO, R. ; SANTOS, L. A. F. ; BATISTA, D. M. ; GEROSA, M. A.	Qualis nao identificado	the 28th Annual ACM Symposium, 2013
resumoExpandidoEmCongresso	2013	Padrões de Socialização de Novatos em Projetos de Software Livre	XXI Simpósio Internacional de Iniciação Científica da USP, 2013, São Carlos/SP. XXI Simpósio Internacional de Iniciação Científica da USP	MACIEL, A. C. ; GRACIOTTO SILVA, M. A.	Qualis nao identificado	XXI Simpósio Internacional de Iniciação Científica da USP, 2013, São Carlos/SP. XXI Simpósio Internacional de Iniciação Científica da USP
resumoExpandidoEmCongresso	2013	Levantamento e Análise das Redes Sem Fio IEEE 802.11 b/g/n em Campo Mourão	Computer on the Beach, 2013, Florianópolis. Anais do Computer on the Beach (2013)	OLIVEIRA, G. ; MONTE-ALTO, E. L. C. ; SILVA, G. B. ; CAMPIOLO, Rodrigo	Qualis nao identificado	Computer on the Beach, 2013, Florianópolis. Anais do Computer on the Beach (2013)
resumoExpandidoEmCongresso	2012	Prediction of Developer Participation in Issues of Open Source Projects	2012 Brazilian Symposium on Collaborative Systems (SBSC), 2012	SCHWERZ, ANDRE LUIS ; Liberato, Rafael ; WIESE, Igor Scaliante ; STEINMACHER, IGOR ; GEROSA, Marco Aurelio ; Ferreira, João Eduardo	Qualis nao identificado	2012 Brazilian Symposium on Collaborative Systems (SBSC), 2012
resumoExpandidoEmCongresso	0			GONÇALVES, Diego Bertolini ; Indexação e Recuperação de Imagens Digitais por Cor e Estrutura. In: VII Semana da Informática e IV Mostra de Trabalhos de Iniciação Científica, 2005, Paranavaí, 2005.	Qualis nao identificado	
resumoExpandidoEmCongresso	0			SANTOS, L. A. F. ; Utilização de Bluethooth como redes de acesso WAP. In: III Semana da Informática, 2001, Paranavaí. III Semana da Informática, 2001.	Qualis nao identificado	
