trabalhoCompletoEmCongresso	2014		Estudo e análise de vulnerabilidades web	WTICG - Workshop de Trabalhos de Iniciação Científica e de Graduação	MONTEVERDE, W. A. ; CAMPIOLO, Rodrigo	Qualis nao identificado	WTICG - Workshop de Trabalhos de Iniciação Científica e de Graduação
trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.3233/978-1-61499-322-3-123	Interface Humano-Computador para facilitar a utilização de ambiente de computação em nuvem no contexto de experimentos científicos	SEI'2014 - Seminário de Extensão e Inovação da UTFPR	NOYA, G. P. ; TANAKA, T. ; KRAEMER, A.	Qualis nao identificado	SEI'2014 - Seminário de Extensão e Inovação da UTFPR
trabalhoCompletoEmCongresso	2014		Barriers Faced by Newcomers to Open Source Projects: A Systematic Review	The 10th IFIP WG 2.13 International Conference on Open Source Systems	STEINMACHER, Igor ; GRACIOTTO SILVA, M. A. ; GEROSA, Marco Aurelio	B2	International Conference on Open Source Systems
trabalhoCompletoEmCongresso	2014		Preliminary Empirical identification of barriers faced by newcomers to Open Source Software projects	28th Brazilian Symposium on Software Engineering (SBES 2014)	STEINMACHER, IGOR ; CHAVES, Ana Paula ; CONTE, Tayana U. ; GEROSA, Marco Aurelio	B2	SBES
trabalhoCompletoEmCongresso	2014		Social Barriers Faced by Newcomers Placing Their First Contribution in Open Source Software Projects	18th ACM Conference on Computer-Supported Cooperative Work and Social Computing	STEINMACHER, IGOR ; CONTE, TAYANA ; REDMILES, David F. ; GEROSA, Marco Aurelio	Qualis nao identificado	18th ACM Conference on Computer-Supported Cooperative Work and Social Computing
trabalhoCompletoEmCongresso	2014		Choosing an Appropriate Task to Start With In Open Source Software Communities: a Hard Task	International Conference on Collaboration and Technology (CRIWG 2014)	STEINMACHER, IGOR ; GEROSA, Marco Aurelio	B1	CRIWG
trabalhoCompletoEmCongresso	2014		Onboarding, and Retaining Newcomer Developers in Open Source Software Projects. I	Workshop of Global Software Development in a CSCW perspective	STEINMACHER, Igor ; GEROSA, Marco Aurelio ; REDMILES, David F.	Qualis nao identificado	Workshop of Global Software Development in a CSCW perspective
trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.1145/2593702.2593704	The hard life of open source software project newcomers	the 7th International Workshop	STEINMACHER, IGOR ; WIESE, Igor Scaliante ; CONTE, TAYANA ; Gerosa, Marco Aurélio ; REDMILES, DAVID	Qualis nao identificado	the 7th International Workshop
trabalhoCompletoEmCongresso	2014		The Hard Life of Newcomers to Open Source Sotware Projects	7th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2014)	STEINMACHER, IGOR ; WIESE, Igor Scaliante ; CONTE, Tayana U. ; GEROSA, Marco Aurelio ; REDMILES, David. F.	Qualis nao identificado	7th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2014)
trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.1007/978-3-319-10166-8_27	Using Structural Holes Metrics from Communication Networks to Predict Change Dependencies	International Conference on Collaboration and Technology (CRIWG 2014)	WIESE, Igor Scaliante ; KURODA, R. T. ; NASSIF JUNIOR, D. ; RÉ, Reginaldo ; OLIVA, G. A. ; GEROSA, Marco Aurelio	B1	CRIWG
