1944-8252	ACS Applied Materials & Interfaces (Online)	A1	Atualizada em 2012
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A1	Atualizada em 2012
0001-6322	Acta Neuropathologica	A1	Atualizada em 2012
0001-690X	Acta Psychiatrica Scandinavica	A1	Atualizada em 2012
0965-2140	Addiction (Abingdon. Print)	A1	Atualizada em 2012
1355-6215	Addiction Biology (Print)	A1	Atualizada em 2012
0935-9648	Advanced Materials (Weinheim Print)	A1	Atualizada em 2012
1072-4109	Advances in Anatomic Pathology	A1	Atualizada em 2012
0065-230X	Advances in Cancer Research	A1	Atualizada em 2012
0065-2423	Advances in Clinical Chemistry	A1	Atualizada em 2012
0065-2776	Advances in Immunology (Print)	A1	Atualizada em 2012
0065-308X	Advances in Parasitology	A1	Atualizada em 2012
0002-0729	Age and Ageing	A1	Atualizada em 2012
1568-1637	Ageing Research Reviews (Print)	A1	Atualizada em 2012
0269-9370	AIDS (London)	A1	Atualizada em 2012
1350-2840	AIDS (Supplement)	A1	Atualizada em 2012
0269-2813	Alimentary Pharmacology & Therapeutics	A1	Atualizada em 2012
0105-4538	Allergy (Copenhagen)	A1	Atualizada em 2012
1398-9995	Allergy (Online)	A1	Atualizada em 2012
1552-5260	Alzheimer's & Dementia	A1	Atualizada em 2012
1526-5161	American Journal of Bioethics	A1	Atualizada em 2012
0002-9165	American Journal of Clinical Nutrition	A1	Atualizada em 2012
0002-9262	American Journal of Epidemiology	A1	Atualizada em 2012
1545-7214	American Journal of Geriatric Psychiatry (Online)	A1	Atualizada em 2012
0361-8609	American Journal of Hematology (Print)	A1	Atualizada em 2012
0002-9297	American Journal of Human Genetics	A1	Atualizada em 2012
0272-6386	American Journal of Kidney Diseases	A1	Atualizada em 2012
1523-6838	American Journal of Kidney Diseases (Online)	A1	Atualizada em 2012
0002-9394	American Journal of Ophthalmology	A1	Atualizada em 2012
0193-1849	American Journal of Physiology: Endocrinology and Metabolism	A1	Atualizada em 2012
0749-3797	American Journal of Preventive Medicine	A1	Atualizada em 2012
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	Atualizada em 2012
1044-1549	American Journal of Respiratory Cell and Molecular Biology	A1	Atualizada em 2012
0363-5465	American Journal of Sports Medicine	A1	Atualizada em 2012
1600-6135	American Journal of Transplantation (Print)	A1	Atualizada em 2012
0003-2654	Analyst (London. 1877. Print)	A1	Atualizada em 2012
0003-2670	Analytica Chimica Acta (Print)	A1	Atualizada em 2012
0196-0644	Annals of Emergency Medicine	A1	Atualizada em 2012
1544-1709	Annals of Family Medicine	A1	Atualizada em 2012
0003-4819	Annals of Internal Medicine	A1	Atualizada em 2012
0364-5134	Annals of Neurology	A1	Atualizada em 2012
0923-7534	Annals of Oncology	A1	Atualizada em 2012
0003-4932	Annals of Surgery	A1	Atualizada em 2012
1068-9265	Annals of Surgical Oncology	A1	Atualizada em 2012
0003-4967	Annals of the Rheumatic Diseases	A1	Atualizada em 2012
1531-7331	Annual Review of Materials Research (Print)	A1	Atualizada em 2012
0147-006X	Annual Review of Neuroscience (Print)	A1	Atualizada em 2012
1098-6596	Antimicrobial Agents and Chemotherapy (Online)	A1	Atualizada em 2012
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	Atualizada em 2012
1523-0864	Antioxidants & Redox Signalling	A1	Atualizada em 2012
0166-3542	Antiviral Research	A1	Atualizada em 2012
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	Atualizada em 2012
0175-7598	Applied Microbiology and Biotechnology	A1	Atualizada em 2012
0003-990X	Archives of General Psychiatry	A1	Atualizada em 2012
0003-9926	Archives of Internal Medicine (1960)	A1	Atualizada em 2012
0003-9942	Archives of Neurology (Chicago)	A1	Atualizada em 2012
1072-4710	Archives of Pediatrics & Adolescent Medicine	A1	Atualizada em 2012
0004-0010	Archives of Surgery (Chicago. 1960)	A1	Atualizada em 2012
0340-5761	Archives of Toxicology	A1	Atualizada em 2012
1079-5642	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	Atualizada em 2012
0004-3591	Arthritis and Rheumatism	A1	Atualizada em 2012
2151-4658	Arthritis Care & Research (Online)	A1	Atualizada em 2012
2151-464X	Arthritis Care & Research (Print)	A1	Atualizada em 2012
1478-6354	Arthritis Research & Therapy (Print)	A1	Atualizada em 2012
1680-7316	Atmospheric Chemistry and Physics (Print)	A1	Atualizada em 2012
1352-2310	Atmospheric Environment (1994)	A1	Atualizada em 2012
1568-9972	Autoimmunity Reviews	A1	Atualizada em 2012
1554-8627	Autophagy (Georgetown, TX)	A1	Atualizada em 2012
0300-8428	Basic Research in Cardiology (Print)	A1	Atualizada em 2012
0140-525X	Behavioral and Brain Sciences (Print)	A1	Atualizada em 2012
0264-6021	Biochemical Journal (London. 1984)	A1	Atualizada em 2012
0006-2952	Biochemical Pharmacology	A1	Atualizada em 2012
