0065-2504	Advances in Ecological Research	A1	Atualizada em 2012
0168-1923	Agricultural and Forest Meteorology (Print)	A1	Atualizada em 2012
0167-8809	Agriculture, Ecosystems & Environment (Print)	A1	Atualizada em 2012
0002-9122	American Journal of Botany	A1	Atualizada em 2012
0002-9297	American Journal of Human Genetics	A1	Atualizada em 2012
0003-2700	Analytical Chemistry (Washington)	A1	Atualizada em 2012
0003-3472	Animal Behaviour	A1	Atualizada em 2012
1367-9430	Animal Conservation (Print)	A1	Atualizada em 2012
0305-7364	Annals of Botany (Print)	A1	Atualizada em 2012
0077-8923	Annals of the New York Academy of Sciences	A1	Atualizada em 2012
1543-592X	Annual Review of Ecology, Evolution, and Systematics	A1	Atualizada em 2012
0147-006X	Annual Review of Neuroscience (Print)	A1	Atualizada em 2012
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	Atualizada em 2012
0044-8435	Apidologie (Celle)	A1	Atualizada em 2012
1098-5336	Applied and Environmental Microbiology (Online)	A1	Atualizada em 2012
0099-2240	Applied and Environmental Microbiology (Print)	A1	Atualizada em 2012
0003-6951	Applied Physics Letters	A1	Atualizada em 2012
0044-8486	Aquaculture (Amsterdam)	A1	Atualizada em 2012
0166-445X	Aquatic Toxicology	A1	Atualizada em 2012
1352-2310	Atmospheric Environment (1994)	A1	Atualizada em 2012
0166-4328	Behavioural Brain Research	A1	Atualizada em 2012
0265-9247	BioEssays (Cambridge)	A1	Atualizada em 2012
0892-7014	Biofouling (New York. Print)	A1	Atualizada em 2012
0168-2563	Biogeochemistry (Dordrecht)	A1	Atualizada em 2012
1726-4189	Biogeosciences	A1	Atualizada em 2012
1726-4170	Biogeosciences (Katlenburg-Lindau. Print)	A1	Atualizada em 2012
1367-4803	Bioinformatics (Oxford. Print)	A1	Atualizada em 2012
0006-3207	Biological Conservation	A1	Atualizada em 2012
1387-3547	Biological Invasions	A1	Atualizada em 2012
1464-7931	Biological Reviews	A1	Atualizada em 2012
0006-3568	Bioscience (Washington. Print)	A1	Atualizada em 2012
0956-5663	Biosensors & Bioelectronics	A1	Atualizada em 2012
0006-4971	Blood (Philadelphia, PA)	A1	Atualizada em 2012
0006-8950	Brain (London. Print)	A1	Atualizada em 2012
0003-0007	Bulletin of the American Meteorological Society	A1	Atualizada em 2012
0003-0090	Bulletin of the American Museum of Natural History	A1	Atualizada em 2012
1205-7533	Canadian Journal of Fisheries and Aquatic Sciences (Online)	A1	Atualizada em 2012
0706-652X	Canadian Journal of Fisheries and Aquatic Sciences (Print)	A1	Atualizada em 2012
0144-8617	Carbohydrate Polymers	A1	Atualizada em 2012
0920-5861	Catalysis Today (Print)	A1	Atualizada em 2012
0969-0239	Cellulose (London)	A1	Atualizada em 2012
0897-4756	Chemistry of Materials	A1	Atualizada em 2012
0045-6535	Chemosphere (Oxford)	A1	Atualizada em 2012
0930-7575	Climate Dynamics	A1	Atualizada em 2012
0165-0009	Climatic Change	A1	Atualizada em 2012
0147-9571	Comparative Immunology, Microbiology and Infectious Diseases	A1	Atualizada em 2012
0888-8892	Conservation Biology	A1	Atualizada em 2012
1523-1739	Conservation Biology (Online)	A1	Atualizada em 2012
1755-263X	Conservation Letters	A1	Atualizada em 2012
0722-4028	Coral Reefs (Print)	A1	Atualizada em 2012
0960-9822	Current Biology	A1	Atualizada em 2012
1359-6101	Cytokine & Growth Factor Reviews	A1	Atualizada em 2012
0967-0637	Deep-Sea Research. Part 1. Oceanographic Research Papers	A1	Atualizada em 2012
0967-0645	Deep-Sea Research. Part 2. Tropical Studies in Oceanography	A1	Atualizada em 2012
0109-5641	Dental Materials	A1	Atualizada em 2012
0177-5103	Diseases of Aquatic Organisms	A1	Atualizada em 2012
1472-4642	Diversity and Distributions (Online)	A1	Atualizada em 2012
1366-9516	Diversity and Distributions (Print)	A1	Atualizada em 2012
0012-8252	Earth-Science Reviews	A1	Atualizada em 2012
0906-7590	Ecography (Copenhagen)	A1	Atualizada em 2012
1051-0761	Ecological Applications	A1	Atualizada em 2012
0921-8009	Ecological Economics (Amsterdam)	A1	Atualizada em 2012
0304-3800	Ecological Modelling	A1	Atualizada em 2012
0012-9615	Ecological Monographs	A1	Atualizada em 2012
0012-9658	Ecology (Brooklyn, New York, N.Y.)	A1	Atualizada em 2012
1461-023X	Ecology Letters (Print)	A1	Atualizada em 2012
1432-9840	Ecosystems (New York. Print)	A1	Atualizada em 2012
1388-2481	Electrochemistry Communications	A1	Atualizada em 2012
1080-6059	Emerging Infectious Diseases (Online)	A1	Atualizada em 2012
0091-6765	Environmental Health Perspectives	A1	Atualizada em 2012
1462-2912	Environmental Microbiology (Print)	A1	Atualizada em 2012
0269-7491	Environmental Pollution (1987)	A1	Atualizada em 2012
1566-0745	Environmental Pollution (London)	A1	Atualizada em 2012
0013-936X	Environmental Science & Technology	A1	Atualizada em 2012
1520-5851	Environmental Science & Technology	A1	Atualizada em 2012
0730-7268	Environmental Toxicology and Chemistry	A1	Atualizada em 2012
0160-4120	Environment International	A1	Atualizada em 2012
0014-3820	Evolution (Lancaster, PA.)	A1	Atualizada em 2012
1936-6434	Evolution (New York. Internet)	A1	Atualizada em 2012
0168-6496	FEMS Microbiology, Ecology (Print)	A1	Atualizada em 2012
0378-1097	FEMS Microbiology Letters	A1	Atualizada em 2012
0015-0282	Fertility and Sterility	A1	Atualizada em 2012
1467-2960	Fish and Fisheries (Oxford. Print)	A1	Atualizada em 2012
0308-8146	Food Chemistry	A1	Atualizada em 2012
0378-1127	Forest Ecology and Management	A1	Atualizada em 2012
0046-5070	Freshwater Biology (Print)	A1	Atualizada em 2012
1540-9295	Frontiers in Ecology and the Environment (Print)	A1	Atualizada em 2012
0269-8463	Functional Ecology (Print)	A1	Atualizada em 2012
1560-2745	Fungal Diversity	A1	Atualizada em 2012
0016-7037	Geochimica et Cosmochimica Acta	A1	Atualizada em 2012
0016-7606	Geological Society of America Bulletin	A1	Atualizada em 2012
0091-7613	Geology (Boulder, Colo.)	A1	Atualizada em 2012
0094-8276	Geophysical Research Letters	A1	Atualizada em 2012
0886-6236	Global Biogeochemical Cycles	A1	Atualizada em 2012
1757-1693	Global Change Biology. Bioenergy	A1	Atualizada em 2012
1354-1013	Global Change Biology (Print)	A1	Atualizada em 2012
1466-822X	Global Ecology and Biogeography (Print)	A1	Atualizada em 2012
0959-3780	Global Environmental Change	A1	Atualizada em 2012
0018-067X	Heredity (Edinburgh. Print)	A1	Atualizada em 2012
0733-1347	Herpetological Monograph	A1	Atualizada em 2012
0018-506X	Hormones and Behavior (Print)	A1	Atualizada em 2012
0964-6906	Human Molecular Genetics (Print)	A1	Atualizada em 2012
0194-911X	Hypertension (Dallas, Tex. 1979)	A1	Atualizada em 2012
0019-1019	Ibis (London. 1859)	A1	Atualizada em 2012
0965-1748	Insect Biochemistry and Molecular Biology	A1	Atualizada em 2012
0962-1075	Insect Molecular Biology (Print)	A1	Atualizada em 2012
0020-7519	International Journal for Parasitology	A1	Atualizada em 2012
0168-1605	International Journal of Food Microbiology	A1	Atualizada em 2012
1466-5034	International Journal of Systematic and Evolutionary Microbiology (Online)	A1	Atualizada em 2012
1466-5026	International Journal of Systematic and Evolutionary Microbiology (Print)	A1	Atualizada em 2012
0021-8561	Journal of Agricultural and Food Chemistry	A1	Atualizada em 2012
0021-8790	Journal of Animal Ecology (Print)	A1	Atualizada em 2012
0021-8812	Journal of Animal Science	A1	Atualizada em 2012
0021-8901	Journal of Applied Ecology (Print)	A1	Atualizada em 2012
1364-5072	Journal of Applied Microbiology (Print)	A1	Atualizada em 2012
0908-8857	Journal of Avian Biology	A1	Atualizada em 2012
0021-9193	Journal of Bacteriology (Print)	A1	Atualizada em 2012
0305-0270	Journal of Biogeography (Print)	A1	Atualizada em 2012
0168-3659	Journal of Controlled Release	A1	Atualizada em 2012
1365-2745	Journal of Ecology	A1	Atualizada em 2012
0022-0477	Journal of Ecology (Print)	A1	Atualizada em 2012
0378-8741	Journal of Ethnopharmacology	A1	Atualizada em 2012
0022-0949	Journal of Experimental Biology	A1	Atualizada em 2012
0022-0957	Journal of Experimental Botany	A1	Atualizada em 2012
1460-2431	Journal of Experimental Botany (Online)	A1	Atualizada em 2012
0304-3894	Journal of Hazardous Materials (Print)	A1	Atualizada em 2012
0022-1910	Journal of Insect Physiology	A1	Atualizada em 2012
0376-7388	Journal of Membrane Science (Print)	A1	Atualizada em 2012
0022-2844	Journal of Molecular Evolution	A1	Atualizada em 2012
0974-5211	Journal of Natural Products	A1	Atualizada em 2012
0163-3864	Journal of Natural Products (Print)	A1	Atualizada em 2012
1535-3907	Journal of Proteome Research (Online)	A1	Atualizada em 2012
1477-2019	Journal of Systematic Palaeontology (Print)	A1	Atualizada em 2012
0022-5193	Journal of Theoretical Biology	A1	Atualizada em 2012
0022-5142	Journal of the Science of Food and Agriculture	A1	Atualizada em 2012
1097-0010	Journal of the Science of Food and Agriculture (Online)	A1	Atualizada em 2012
1100-9233	Journal of Vegetation Science	A1	Atualizada em 2012
0302-9743	Lecture Notes in Computer Science	A1	Atualizada em 2012
0024-3590	Limnology and Oceanography	A1	Atualizada em 2012
0305-1838	Mammal Review (Print)	A1	Atualizada em 2012
0304-4203	Marine Chemistry (Print)	A1	Atualizada em 2012
0171-8630	Marine Ecology. Progress Series (Halstenbek)	A1	Atualizada em 2012
0025-326X	Marine Pollution Bulletin.	A1	Atualizada em 2012
2041-210X	Methods in Ecology and Evolution	A1	Atualizada em 2012
1286-4579	Microbes and Infection	A1	Atualizada em 2012
1097-0029	Microscopy Research and Technique (Online)	A1	Atualizada em 2012
1059-910X	Microscopy Research and Technique (Print)	A1	Atualizada em 2012
0737-4038	Molecular Biology and Evolution	A1	Atualizada em 2012
1380-3743	Molecular Breeding	A1	Atualizada em 2012
0962-1083	Molecular Ecology (Print)	A1	Atualizada em 2012
0950-382X	Molecular Microbiology (Print)	A1	Atualizada em 2012
1055-7903	Molecular Phylogenetics and Evolution (Print)	A1	Atualizada em 2012
0894-0282	Molecular Plant-Microbe Interactions	A1	Atualizada em 2012
1386-1964	Mutation Research. Fundamental and Molecular Mechanisms of Mutagenesis	A1	Atualizada em 2012
1383-5742	Mutation Research. Reviews in Mutation Research (Print)	A1	Atualizada em 2012
1994-4136	Myrmecological News	A1	Atualizada em 2012
0265-0568	Natural Product Reports (Print)	A1	Atualizada em 2012
1552-4450	Nature Chemical Biology	A1	Atualizada em 2012
0028-0836	Nature (London)	A1	Atualizada em 2012
0028-1042	Naturwissenschaften	A1	Atualizada em 2012
0028-646X	New Phytologist (Print)	A1	Atualizada em 2012
0029-8549	Oecologia	A1	Atualizada em 2012
0030-1299	Oikos (Kobenhavn)	A1	Atualizada em 2012
1523-7060	Organic Letters (Print)	A1	Atualizada em 2012
0031-0182	Palaeogeography, Palaeoclimatology, Palaeoecology	A1	Atualizada em 2012
1526-4998	Pest Management Science	A1	Atualizada em 2012
1526-498X	Pest Management Science (Print)	A1	Atualizada em 2012
0091-3057	Pharmacology, Biochemistry and Behavior	A1	Atualizada em 2012
0163-7258	Pharmacology & Therapeutics (Oxford)	A1	Atualizada em 2012
0962-8436	Philosophical Transactions - Royal Society. Biological Sciences (Print)	A1	Atualizada em 2012
1094-1622	Physical Review. A, Atomic, Molecular, and Optical Physics (Online)	A1	Atualizada em 2012
1399-3054	Physiologia Plantarum	A1	Atualizada em 2012
0031-9317	Physiologia Plantarum (Kobenhavn. 1948)	A1	Atualizada em 2012
0031-9384	Physiology & Behavior	A1	Atualizada em 2012
0031-9422	Phytochemistry	A1	Atualizada em 2012
1568-7767	Phytochemistry Reviews (Print)	A1	Atualizada em 2012
0032-0935	Planta (Heidelberg	A1	Atualizada em 2012
0032-0781	Plant and Cell Physiology	A1	Atualizada em 2012
1573-5036	Plant and Soil (Dordrecht. Online)	A1	Atualizada em 2012
0032-079X	Plant and Soil (Print)	A1	Atualizada em 2012
0140-7791	Plant, Cell and Environment (Print)	A1	Atualizada em 2012
0960-7412	Plant Journal (Print)	A1	Atualizada em 2012
0167-4412	Plant Molecular Biology	A1	Atualizada em 2012
0735-9640	Plant Molecular Biology Reporter	A1	Atualizada em 2012
0032-0889	Plant Physiology (Bethesda)	A1	Atualizada em 2012
0168-9452	Plant Science (Limerick)	A1	Atualizada em 2012
1545-7885	PLoS Biology (Online)	A1	Atualizada em 2012
1553-7390	PLOS Genetics	A1	Atualizada em 2012
1553-7404	PLOS Genetics (Online)	A1	Atualizada em 2012
1932-6203	Plos One	A1	Atualizada em 2012
1553-7366	PLoS Pathogens	A1	Atualizada em 2012
0027-8424	Proceedings of the National Academy of Sciences of the United States of America	A1	Atualizada em 2012
1091-6490	Proceedings of the National Academy of Sciences of the United States of America (Online)	A1	Atualizada em 2012
0962-8452	Proceedings - Royal Society. Biological Sciences (Print)	A1	Atualizada em 2012
1365-3075	Pure and Applied Chemistry (Online)	A1	Atualizada em 2012
0034-4257	Remote Sensing of Environment	A1	Atualizada em 2012
0036-8075	Science (New York, N.Y.)	A1	Atualizada em 2012
1095-9203	Science (New York, N.Y.: Online)	A1	Atualizada em 2012
0048-9697	Science of the Total Environment	A1	Atualizada em 2012
0925-4005	Sensors and Actuators. B, Chemical	A1	Atualizada em 2012
1063-5157	Systematic Biology (Philadelphia. Print)	A1	Atualizada em 2012
0307-6970	Systematic Entomology (Print)	A1	Atualizada em 2012
0002-9637	The American Journal of Tropical Medicine and Hygiene	A1	Atualizada em 2012
0003-0147	The American Naturalist	A1	Atualizada em 2012
0004-8038	The Auk (Washington, D.C.)	A1	Atualizada em 2012
0892-6638	The FASEB Journal	A1	Atualizada em 2012
1751-7362	The ISME Journal (Print)	A1	Atualizada em 2012
1029-8479	The Journal of High Energy Physics (Online)	A1	Atualizada em 2012
0022-1899	The Journal of Infectious Diseases	A1	Atualizada em 2012
0040-5752	Theoretical and Applied Genetics	A1	Atualizada em 2012
1040-4651	The Plant Cell	A1	Atualizada em 2012
0033-5770	The Quarterly Review of Biology	A1	Atualizada em 2012
0093-691X	Theriogenology	A1	Atualizada em 2012
1614-2950	Tree Genetics & Genomes	A1	Atualizada em 2012
1614-2942	Tree Genetics & Genomes (Print)	A1	Atualizada em 2012
0829-318X	Tree Physiology	A1	Atualizada em 2012
0169-5347	Trends in Ecology & Evolution (Amsterdam. Print)	A1	Atualizada em 2012
1360-1385	Trends in Plant Science	A1	Atualizada em 2012
0378-1135	Veterinary Microbiology (Amsterdam. Print)	A1	Atualizada em 2012
1873-2550	Veterinary Parasitology (Online)	A1	Atualizada em 2012
0304-4017	Veterinary Parasitology (Print)	A1	Atualizada em 2012
0043-1354	Water Research (Oxford)	A1	Atualizada em 2012
0043-1397	Water Resources Research	A1	Atualizada em 2012
0273-1223	Water Science and Technology	A1	Atualizada em 2012
1545-8547	Zebrafish (Larchmont, NY)	A1	Atualizada em 2012
0300-3256	Zoologica Scripta	A1	Atualizada em 2012
1069-6563	Academic Emergency Medicine	A2	Atualizada em 2012
0001-706X	Acta Tropica	A2	Atualizada em 2012
0065-2598	Advances in Experimental Medicine and Biology	A2	Atualizada em 2012
1461-9555	Agricultural and Forest Entomology (Print)	A2	Atualizada em 2012
1572-9680	Agroforestry Systems	A2	Atualizada em 2012
0167-4366	Agroforestry Systems (Print)	A2	Atualizada em 2012
0044-7447	Ambio (Oslo)	A2	Atualizada em 2012
1552-4868	American Journal of Medical Genetics. Part C, Seminars in Medical Genetics	A2	Atualizada em 2012
0002-9378	American Journal of Obstetrics and Gynecology (Print)	A2	Atualizada em 2012
0002-9483	American Journal of Physical Anthropology	A2	Atualizada em 2012
0275-2565	American Journal of Primatology (Print)	A2	Atualizada em 2012
1046-7408	American Journal of Reproductive Immunology (Print)	A2	Atualizada em 2012
1044-1549	American Journal of Respiratory Cell and Molecular Biology	A2	Atualizada em 2012
0003-0082	American Museum Novitates	A2	Atualizada em 2012
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	A2	Atualizada em 2012
1678-2690	Anais da Academia Brasileira de Ciências (Online)	A2	Atualizada em 2012
0003-2654	Analyst (London. 1877. Print)	A2	Atualizada em 2012
0003-2670	Analytica Chimica Acta (Print)	A2	Atualizada em 2012
1618-2642	Analytical and Bioanalytical Chemistry (Print)	A2	Atualizada em 2012
0378-4320	Animal Reproduction Science (Print)	A2	Atualizada em 2012
1286-4560	Annals of Forest Science (Print)	A2	Atualizada em 2012
0013-8746	Annals of the Entomological Society of America	A2	Atualizada em 2012
1572-9699	Antonie Van Leeuwenhoek (Dordrecht. Online)	A2	Atualizada em 2012
0003-6072	Antonie van Leeuwenhoek (Gedrukt)	A2	Atualizada em 2012
0903-4641	APMIS. Acta Pathologica, Microbiologica et Immunologica Scandinavica.	A2	Atualizada em 2012
0168-1591	Applied Animal Behaviour Science (Print)	A2	Atualizada em 2012
0175-7598	Applied Microbiology and Biotechnology	A2	Atualizada em 2012
0929-1393	Applied Soil Ecology (Print)	A2	Atualizada em 2012
0003-7028	Applied Spectroscopy	A2	Atualizada em 2012
1402-2001	Applied Vegetation Science	A2	Atualizada em 2012
1654-109X	Applied Vegetation Science (Online)	A2	Atualizada em 2012
1365-2095	Aquaculture Nutrition (Online)	A2	Atualizada em 2012
1353-5773	Aquaculture Nutrition (Print)	A2	Atualizada em 2012
0304-3770	Aquatic Botany	A2	Atualizada em 2012
0948-3055	Aquatic Microbial Ecology	A2	Atualizada em 2012
1015-1621	Aquatic Sciences (Printed ed.)	A2	Atualizada em 2012
0003-9861	Archives of Biochemistry and Biophysics (Print)	A2	Atualizada em 2012
0340-3696	Archives of Dermatological Research (Print)	A2	Atualizada em 2012
1432-0703	Archives of Environmental Contamination and Toxicology	A2	Atualizada em 2012
0090-4341	Archives of Environmental Contamination and Toxicology (Print)	A2	Atualizada em 2012
0739-4462	Archives of Insect Biochemistry and Physiology	A2	Atualizada em 2012
0302-8933	Archives of Microbiology	A2	Atualizada em 2012
0340-5761	Archives of Toxicology	A2	Atualizada em 2012
1872-8855	Arthropod-Plant Interactions (Print)	A2	Atualizada em 2012
1467-8039	Arthropod Structure & Development	A2	Atualizada em 2012
1442-9993	Austral Ecology	A2	Atualizada em 2012
1442-9985	Austral Ecology (Print)	A2	Atualizada em 2012
1045-2249	Behavioral Ecology	A2	Atualizada em 2012
0340-5443	Behavioral Ecology and Sociobiology (Print)	A2	Atualizada em 2012
0376-6357	Behavioural Processes (Print)	A2	Atualizada em 2012
0006-2952	Biochemical Pharmacology	A2	Atualizada em 2012
1388-1981	Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids	A2	Atualizada em 2012
0005-2728	Biochimica et Biophysica Acta. Bioenergetics	A2	Atualizada em 2012
0005-2736	Biochimica et Biophysica Acta. Biomembranes	A2	Atualizada em 2012
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A2	Atualizada em 2012
1386-6141	BioControl (Dordrecht)	A2	Atualizada em 2012
0960-3115	Biodiversity and Conservation	A2	Atualizada em 2012
1572-9710	Biodiversity and Conservation (Dordrecht. Online)	A2	Atualizada em 2012
0024-4066	Biological Journal of the Linnean Society	A2	Atualizada em 2012
0178-2762	Biology and Fertility of Soils (Print)	A2	Atualizada em 2012
1744-9561	Biology Letters (Print)	A2	Atualizada em 2012
0961-9534	Biomass & Bioenergy	A2	Atualizada em 2012
0960-8524	Bioresource Technology	A2	Atualizada em 2012
0734-9750	Biotechnology Advances	A2	Atualizada em 2012
1744-7429	Biotropica	A2	Atualizada em 2012
0006-3606	Biotropica (Lawrence, KS)	A2	Atualizada em 2012
0959-2709	Bird Conservation International	A2	Atualizada em 2012
1542-0752	Birth Defects Research. Clinical and Molecular Teratology	A2	Atualizada em 2012
8756-3282	Bone (New York, N.Y.)	A2	Atualizada em 2012
0024-4074	Botanical Journal of the Linnean Society (Print)	A2	Atualizada em 2012
1916-2804	Botany (Ottawa. Online)	A2	Atualizada em 2012
1916-2790	Botany (Ottawa. Print)	A2	Atualizada em 2012
1678-4510	Brazilian Journal of Medical and Biological Research	A2	Atualizada em 2012
0100-879X	Brazilian Journal of Medical and Biological Research (Impresso)	A2	Atualizada em 2012
0007-1188	British Journal of Pharmacology	A2	Atualizada em 2012
0007-4853	Bulletin of Entomological Research	A2	Atualizada em 2012
1480-3275	Canadian Journal of Microbiology (Online)	A2	Atualizada em 2012
0008-4166	Canadian Journal of Microbiology (Print)	A2	Atualizada em 2012
1480-3283	Canadian Journal of Zoology (Online)	A2	Atualizada em 2012
0008-4301	Canadian Journal of Zoology (Print)	A2	Atualizada em 2012
1566-7367	Catalysis Communications (Print)	A2	Atualizada em 2012
1462-5814	Cellular Microbiology (Print)	A2	Atualizada em 2012
1385-8947	Chemical Engineering Journal (1996)	A2	Atualizada em 2012
0748-3007	Cladistics (Westport. Print)	A2	Atualizada em 2012
0009-8981	Clinica Chimica Acta (Print)	A2	Atualizada em 2012
1532-0456	Comparative Biochemistry and Physiology. C. Toxicology & Pharmacology	A2	Atualizada em 2012
1095-6433	Comparative Biochemistry and Physiology. Part A, Molecular & Integrative Physiology	A2	Atualizada em 2012
1531-4332	Comparative Biochemistry and Physiology. Part A, Molecular & Integrative Physiology (Online)	A2	Atualizada em 2012
1879-1107	Comparative Biochemistry and Physiology. Part B, Biochemistry & Molecular Biology (Online)	A2	Atualizada em 2012
1096-4959	Comparative Biochemistry and Physiology. Part B: Biochemistry & Molecular Biology (Print)	A2	Atualizada em 2012
1566-0621	Conservation Genetics	A2	Atualizada em 2012
0278-4343	Continental Shelf Research	A2	Atualizada em 2012
0010-7824	Contraception (Stoneham)	A2	Atualizada em 2012
0011-2240	Cryobiology (Print)	A2	Atualizada em 2012
1466-8033	CrystEngComm (Cambridge. Online)	A2	Atualizada em 2012
1389-4501	Current Drug Targets (Print)	A2	Atualizada em 2012
0929-8673	Current Medicinal Chemistry	A2	Atualizada em 2012
0343-8651	Current Microbiology (Print)	A2	Atualizada em 2012
1877-3435	Current Opinion in Environmental Sustainability (Print)	A2	Atualizada em 2012
0011-3891	Current Science (Bangalore)	A2	Atualizada em 2012
0949-944X	Development, Genes and Evolution (Print)	A2	Atualizada em 2012
0732-8893	Diagnostic Microbiology and Infectious Disease	A2	Atualizada em 2012
1568-7864	DNA Repair (Print)	A2	Atualizada em 2012
1439-0310	DOI: 10.1111/eth.12032	A2	Atualizada em 2012
0197-9337	Earth Surface Processes and Landforms (Print)	A2	Atualizada em 2012
0925-8574	Ecological Engineering	A2	Atualizada em 2012
1365-2311	Ecological Entomology Online	A2	Atualizada em 2012
0307-6946	Ecological Entomology (Print)	A2	Atualizada em 2012
1470-160X	Ecological Indicators	A2	Atualizada em 2012
1708-3087	Ecology and Society: a journal of integrative science for resilience and sustainability	A2	Atualizada em 2012
0147-6513	Ecotoxicology and Environmental Safety	A2	Atualizada em 2012
1040-0397	Electroanalysis (New York, N.Y.)	A2	Atualizada em 2012
1080-6040	Emerging Infectious Diseases (Print)	A2	Atualizada em 2012
0013-7227	Endocrinology (Philadelphia)	A2	Atualizada em 2012
0013-8703	Entomologia Experimentalis et Applicata (Print)	A2	Atualizada em 2012
0098-8472	Environmental and Experimental Botany	A2	Atualizada em 2012
0893-6692	Environmental and Molecular Mutagenesis (Print)	A2	Atualizada em 2012
0378-1909	Environmental Biology of Fishes	A2	Atualizada em 2012
1866-6299	Environmental Earth Sciences (Internet)	A2	Atualizada em 2012
1866-6280	Environmental Earth Sciences (Print)	A2	Atualizada em 2012
0046-225X	Environmental Entomology	A2	Atualizada em 2012
1476-069X	Environmental Health (London. 2002. Online)	A2	Atualizada em 2012
0364-152X	Environmental Management (New York)	A2	Atualizada em 2012
1364-8152	Environmental Modelling & Software	A2	Atualizada em 2012
0013-9351	Environmental Research (New York, N.Y. Print)	A2	Atualizada em 2012
0944-1344	Environmental Science and Pollution Research International	A2	Atualizada em 2012
1462-9011	Environmental Science & Policy	A2	Atualizada em 2012
1520-4081	Environmental Toxicology (Print)	A2	Atualizada em 2012
1559-2723	Estuaries and Coasts	A2	Atualizada em 2012
0272-7714	Estuarine, Coastal and Shelf Science (Print)	A2	Atualizada em 2012
0179-1613	Ethology	A2	Atualizada em 2012
1535-9778	Eukaryotic Cell	A2	Atualizada em 2012
1573-5060	Euphytica (Dordrecht. Online)	A2	Atualizada em 2012
0014-2336	Euphytica (Wageningen)	A2	Atualizada em 2012
1612-4669	European Journal of Forest Research (Print)	A2	Atualizada em 2012
1018-4813	European Journal of Human Genetics	A2	Atualizada em 2012
0929-1873	European Journal of Plant Pathology	A2	Atualizada em 2012
1164-5563	European Journal of Soil Biology	A2	Atualizada em 2012
1351-0754	European Journal of Soil Science (Print)	A2	Atualizada em 2012
0269-7653	Evolutionary Ecology	A2	Atualizada em 2012
0168-8162	Experimental & Applied Acarology	A2	Atualizada em 2012
1572-9702	Experimental & Applied Acarology (Dordrecht. Online)	A2	Atualizada em 2012
0906-6705	Experimental Dermatology	A2	Atualizada em 2012
1354-3784	Expert Opinion on Investigational Drugs	A2	Atualizada em 2012
0957-4174	Expert Systems with Applications	A2	Atualizada em 2012
0378-4290	Field Crops Research	A2	Atualizada em 2012
0363-2415	Fisheries (Bethesda, Md.)	A2	Atualizada em 2012
0378-3812	Fluid Phase Equilibria	A2	Atualizada em 2012
0740-0020	Food Microbiology (Print)	A2	Atualizada em 2012
0963-9969	Food Research International	A2	Atualizada em 2012
1445-4408	Functional Plant Biology (Print)	A2	Atualizada em 2012
1878-6146	Fungal Biology	A2	Atualizada em 2012
1087-1845	Fungal Genetics and Biology (Print)	A2	Atualizada em 2012
1573-6857	Genetica (Dordrecht. Online)	A2	Atualizada em 2012
0925-9864	Genetic Resources and Crop Evolution (Print)	A2	Atualizada em 2012
0016-6731	Genetics (Austin, Tex.)	A2	Atualizada em 2012
1480-3321	Genome (Ottawa. Online)	A2	Atualizada em 2012
0016-7061	Geoderma (Amsterdam)	A2	Atualizada em 2012
0169-555X	Geomorphology (Amsterdam)	A2	Atualizada em 2012
0921-8181	Global and Planetary Change (Print)	A2	Atualizada em 2012
