0001-706X	Acta Tropica	A1	Atualizada em 2012
0378-3774	Agricultural Water Management (Print)	A1	Atualizada em 2012
0167-8809	Agriculture, Ecosystems & Environment (Print)	A1	Atualizada em 2012
1042-0533	American Journal of Human Biology	A1	Atualizada em 2012
0275-2565	American Journal of Primatology (Print)	A1	Atualizada em 2012
0260-3055	Annals of Glaciology	A1	Atualizada em 2012
0883-2927	Applied Geochemistry	A1	Atualizada em 2012
0143-6228	Applied Geography (Sevenoaks)	A1	Atualizada em 2012
0044-8486	Aquaculture (Amsterdam)	A1	Atualizada em 2012
1530-261X	Atmospheric Science Letters	A1	Atualizada em 2012
0005-2736	Biochimica et Biophysica Acta. Biomembranes	A1	Atualizada em 2012
0960-3115	Biodiversity and Conservation	A1	Atualizada em 2012
0168-2563	Biogeochemistry (Dordrecht)	A1	Atualizada em 2012
0006-3207	Biological Conservation	A1	Atualizada em 2012
0007-4861	Bulletin of Environmental Contamination and Toxicology	A1	Atualizada em 2012
0341-8162	Catena (Cremlingen)	A1	Atualizada em 2012
0009-2541	Chemical Geology	A1	Atualizada em 2012
0264-2751	Cities	A1	Atualizada em 2012
1618-954X	Clean Technologies and Environmental Policy (Print)	A1	Atualizada em 2012
0165-0009	Climatic Change	A1	Atualizada em 2012
1631-0713	Comptes Rendus. Géoscience	A1	Atualizada em 2012
0098-3004	Computers & Geosciences	A1	Atualizada em 2012
0278-4343	Continental Shelf Research	A1	Atualizada em 2012
0722-4028	Coral Reefs (Print)	A1	Atualizada em 2012
0195-6671	Cretaceous Research (Print)	A1	Atualizada em 2012
0012-821X	Earth and Planetary Science Letters	A1	Atualizada em 2012
1087-3562	Earth Interactions	A1	Atualizada em 2012
1096-9837	Earth Surface Processes and Landforms (Online)	A1	Atualizada em 2012
0197-9337	Earth Surface Processes and Landforms (Print)	A1	Atualizada em 2012
0925-8574	Ecological Engineering	A1	Atualizada em 2012
1470-160X	Ecological Indicators	A1	Atualizada em 2012
0147-6513	Ecotoxicology and Environmental Safety	A1	Atualizada em 2012
0360-5442	Energy (Oxford)	A1	Atualizada em 2012
0301-4215	Energy Policy	A1	Atualizada em 2012
1866-6280	Environmental Earth Sciences (Print)	A1	Atualizada em 2012
0269-4042	Environmental Geochemistry and Health	A1	Atualizada em 2012
0943-0105	Environmental Geology (Berlin)	A1	Atualizada em 2012
0091-6765	Environmental Health Perspectives	A1	Atualizada em 2012
0269-7491	Environmental Pollution (1987)	A1	Atualizada em 2012
0944-1344	Environmental Science and Pollution Research International	A1	Atualizada em 2012
0014-0481	Espaces et Sociétés	A1	Atualizada em 2012
0272-7714	Estuarine, Coastal and Shelf Science (Print)	A1	Atualizada em 2012
0250-7161	EURE (Santiago. Impresa)	A1	Atualizada em 2012
1351-0754	European Journal of Soil Science (Print)	A1	Atualizada em 2012
0969-997X	Fisheries Management and Ecology (Print)	A1	Atualizada em 2012
0367-2530	Flora (Jena)	A1	Atualizada em 2012
0378-1127	Forest Ecology and Management	A1	Atualizada em 2012
0016-7037	Geochimica et Cosmochimica Acta	A1	Atualizada em 2012
0016-7061	Geoderma (Amsterdam)	A1	Atualizada em 2012
0016-7185	Geoforum	A1	Atualizada em 2012
1517-7793	GEOgraphia (UFF)	A1	Atualizada em 2012
0016-7398	Geographical Journal	A1	Atualizada em 2012
0016-7606	Geological Society of America Bulletin	A1	Atualizada em 2012
0276-0460	Geo-Marine Letters	A1	Atualizada em 2012
0169-555X	Geomorphology (Amsterdam)	A1	Atualizada em 2012
0094-8276	Geophysical Research Letters	A1	Atualizada em 2012
1827-1987	Geospatial Health (Testo stampato)	A1	Atualizada em 2012
0921-8181	Global and Planetary Change (Print)	A1	Atualizada em 2012
1354-1013	Global Change Biology (Print)	A1	Atualizada em 2012
0338-487X	Hérodote (Paris)	A1	Atualizada em 2012
0300-7839	Human Ecology (New York, N.Y.)	A1	Atualizada em 2012
1027-5606	Hydrology and Earth System Sciences	A1	Atualizada em 2012
1545-598X	IEEE Geoscience and Remote Sensing Letters (Print)	A1	Atualizada em 2012
0196-2892	IEEE Transactions on Geoscience and Remote Sensing	A1	Atualizada em 2012
0964-8305	International Biodeterioration & Biodegradation	A1	Atualizada em 2012
0020-6814	International Geology Review	A1	Atualizada em 2012
1569-8432	International Journal of Applied Earth Observation and Geoinformation	A1	Atualizada em 2012
0166-5162	International Journal of Coal Geology	A1	Atualizada em 2012
0300-5771	International Journal of Epidemiology	A1	Atualizada em 2012
1365-8816	International Journal of Geographical Information Science (Print)	A1	Atualizada em 2012
1558-8424	Journal of Applied Meteorology and Climatology	A1	Atualizada em 2012
0140-1963	Journal of Arid Environments	A1	Atualizada em 2012
0301-4797	Journal of Environmental Management	A1	Atualizada em 2012
1932-5223	Journal of Experimental Zoology. Part A, Ecological Genetics and Physiology	A1	Atualizada em 2012
0148-0227	Journal of Geophysical Research	A1	Atualizada em 2012
0304-3894	Journal of Hazardous Materials (Print)	A1	Atualizada em 2012
0022-1694	Journal of Hydrology (Amsterdam)	A1	Atualizada em 2012
0022-2585	Journal of Medical Entomology	A1	Atualizada em 2012
0921-2728	Journal of Paleolimnology	A1	Atualizada em 2012
0895-9811	Journal of South American Earth Sciences	A1	Atualizada em 2012
1099-3460	Journal of Urban Health	A1	Atualizada em 2012
0267-8179	JQS. Journal of Quaternary Science (Print)	A1	Atualizada em 2012
1475-2875	Malaria Journal (Online)	A1	Atualizada em 2012
0025-326X	Marine Pollution Bulletin.	A1	Atualizada em 2012
1874-8961	Mathematical Geosciences (Print)	A1	Atualizada em 2012
1369-3786	Medical Mycology (Oxford. Print)	A1	Atualizada em 2012
1984-2201	Mercator (Fortaleza. Online)	A1	Atualizada em 2012
1676-8329	Mercator (UFC)	A1	Atualizada em 2012
1342-6311	Microbes and Environments	A1	Atualizada em 2012
0968-4328	Micron (Oxford. 1993)	A1	Atualizada em 2012
1381-2386	Mitigation and Adaptation Strategies for Global Change	A1	Atualizada em 2012
0028-0836	Nature (London)	A1	Atualizada em 2012
0251-5350	Neuroepidemiology	A1	Atualizada em 2012
0964-5691	Ocean & Coastal Management	A1	Atualizada em 2012
0146-6380	Organic Geochemistry	A1	Atualizada em 2012
0031-0182	Palaeogeography, Palaeoclimatology, Palaeoecology	A1	Atualizada em 2012
0031-0220	Palaontologische Zeitschrift	A1	Atualizada em 2012
0962-8436	Philosophical Transactions - Royal Society. Biological Sciences (Print)	A1	Atualizada em 2012
1385-0237	Plant Ecology (Dordrecht)	A1	Atualizada em 2012
0032-0862	Plant Pathology (Print)	A1	Atualizada em 2012
0378-2697	Plant Systematics and Evolution	A1	Atualizada em 2012
1932-6203	Plos One	A1	Atualizada em 2012
0962-6298	Political Geography	A1	Atualizada em 2012
1544-8444	Population, Space and Place	A1	Atualizada em 2012
0027-8424	Proceedings of the National Academy of Sciences of the United States of America	A1	Atualizada em 2012
0309-1325	Progress in Human Geography	A1	Atualizada em 2012
1040-6182	Quaternary International	A1	Atualizada em 2012
0033-5894	Quaternary Research (Print)	A1	Atualizada em 2012
0969-806X	Radiation Physics and Chemistry (1993)	A1	Atualizada em 2012
1436-3798	Regional Environmental Change (Print)	A1	Atualizada em 2012
0921-3449	Resources, Conservation and Recycling	A1	Atualizada em 2012
0034-6667	Review of Palaeobotany and Palynology	A1	Atualizada em 2012
1519-1540	Revista Brasileira de Geomorfologia	A1	Atualizada em 2012
0034-8910	Revista de Saúde Pública (Impresso)	A1	Atualizada em 2012
0036-8075	Science (New York, N.Y.)	A1	Atualizada em 2012
1095-9203	Science (New York, N.Y.: Online)	A1	Atualizada em 2012
0048-9697	Science of the Total Environment	A1	Atualizada em 2012
1138-9788	Scripta Nova (Barcelona)	A1	Atualizada em 2012
0037-0746	Sedimentology (Amsterdam. Print)	A1	Atualizada em 2012
1424-8220	Sensors (Basel)	A1	Atualizada em 2012
0149-6395	Separation Science and Technology (Print)	A1	Atualizada em 2012
1464-9365	Social & Cultural Geography (Print)	A1	Atualizada em 2012
0361-5995	Soil Science Society of America Journal	A1	Atualizada em 2012
0040-1951	Tectonophysics (Amsterdam)	A1	Atualizada em 2012
0280-6509	Tellus. Series B, Chemical and Physical Meteorology	A1	Atualizada em 2012
0177-798X	Theoretical and Applied Climatology	A1	Atualizada em 2012
1360-2276	TM & IH. Tropical Medicine and International Health (Print)	A1	Atualizada em 2012
0020-2754	Transactions - Institute of British Geographers (1965)	A1	Atualizada em 2012
0939-6314	Vegetation History and Archaeobotany	A1	Atualizada em 2012
0734-242X	Waste Management and Research	A1	Atualizada em 2012
0250-8060	Water International	A1	Atualizada em 2012
0273-1223	Water Science and Technology	A1	Atualizada em 2012
0923-4861	Wetlands Ecology and Management	A1	Atualizada em 2012
0277-5212	Wetlands (Wilmington, N.C.)	A1	Atualizada em 2012
0044-5967	Acta Amazonica (Impresso)	A2	Atualizada em 2012
0102-3306	Acta Botanica Brasílica (Impresso)	A2	Atualizada em 2012
0187-7151	Acta Botánica Mexicana	A2	Atualizada em 2012
0583-6050	Acta Carsologica	A2	Atualizada em 2012
0001-6357	Acta Odontologica Scandinavica (Trykt utg.)	A2	Atualizada em 2012
1679-9275	Acta Scientiarum. Agronomy (Impresso)	A2	Atualizada em 2012
1806-2563	Acta Scientiarum. Technology (Impresso)	A2	Atualizada em 2012
1807-8664	Acta Scientiarum. Technology (Online)	A2	Atualizada em 2012
1809-4422	Ambiente & Sociedade (Online)	A2	Atualizada em 2012
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	A2	Atualizada em 2012
0211-9803	Anales de Geografía de la Universidad Complutense	A2	Atualizada em 2012
0003-2573	Análise Social	A2	Atualizada em 2012
0003-4010	Annales de Géographie (Paris)	A2	Atualizada em 2012
0004-5608	Annals of the Association of American Geographers	A2	Atualizada em 2012
1680-7375	Atmospheric Chemistry and Physics Discussion (Online)	A2	Atualizada em 2012
0005-9099	Berichte zur Deutschen Landeskunde	A2	Atualizada em 2012
1726-4189	Biogeosciences	A2	Atualizada em 2012
1413-4853	Boletim de Ciências Geodésicas (Impresso)	A2	Atualizada em 2012
0101-708X	Boletim Goiano de Geografia (Impresso)	A2	Atualizada em 2012
1984-8501	Boletim Goiano de Geografia (Online)	A2	Atualizada em 2012
0375-7633	Bollettino della Societa Paleontologica Italiana	A2	Atualizada em 2012
1519-6984	Brazilian Journal of Biology (Impresso)	A2	Atualizada em 2012
1679-8759	Brazilian Journal of Oceanography (Impresso)	A2	Atualizada em 2012
0004-5322	Bulletin de l'Association de Géographes Français	A2	Atualizada em 2012
1435-9529	Bulletin of Engineering Geology and the Environment (Print)	A2	Atualizada em 2012
0770-7576	Bulletin - Société Géographique de Liège	A2	Atualizada em 2012
0101-3262	Cadernos CEDES (Impresso)	A2	Atualizada em 2012
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A2	Atualizada em 2012
1712-7971	Canadian Journal of Remote Sensing (Online)	A2	Atualizada em 2012
0825-0383	Canadian Journal of the Administrative Sciences	A2	Atualizada em 2012
0104-7760	CERNE (UFLA)	A2	Atualizada em 2012
0098-6445	Chemical Engineering Communications (Print)	A2	Atualizada em 2012
1001-6538	Chinese Science Bulletin	A2	Atualizada em 2012
1679-3625	Cidades (Presidente Prudente)	A2	Atualizada em 2012
1413-8123	Ciência e Saúde Coletiva (Impresso)	A2	Atualizada em 2012
1360-4813	City (London. 1995)	A2	Atualizada em 2012
1807-7544	City & Time (Online)	A2	Atualizada em 2012
1958-9212	Confins (Paris)	A2	Atualizada em 2012
0102-8529	Contexto Internacional (PUCRJ. Impresso)	A2	Atualizada em 2012
1278-3366	Cybergeo (Paris)	A2	Atualizada em 2012
0013-9998	Die Erde (Berlin)	A2	Atualizada em 2012
0101-7330	Educação & Sociedade (Impresso)	A2	Atualizada em 2012
1413-4152	Engenharia Sanitária e Ambiental	A2	Atualizada em 2012
0212-4521	Enseñanza de las Ciencias	A2	Atualizada em 2012
1573-2959	Environmental Monitoring and Assessment (Dordrecht. Online)	A2	Atualizada em 2012
0167-6369	Environmental Monitoring and Assessment (Print)	A2	Atualizada em 2012
0956-2478	Environment and Urbanization	A2	Atualizada em 2012
0046-2497	Espace Géographique	A2	Atualizada em 2012
0103-6831	Estudos em Avaliação Educacional (Impresso)	A2	Atualizada em 2012
0430-5027	Finisterra (Lisboa. 1966)	A2	Atualizada em 2012
